# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	19856
#@/user_id	240c8f47-1b3e-481f-bf46-4ce45a0f2d10
a 	啊	c=2 d=0.0773569 t=19856
bu chong ding 	不衝頂	c=14 d=0.0378294 t=19856
bu chu 	不出	c=1 d=8.05281e-12 t=19856
bu chu lai 	不出來	c=1 d=3.61775e-10 t=19856
bu cong jia ge fen 	不從價格分	c=1 d=2.11988e-16 t=19856
bu cong xia 	不從下	c=1 d=0.00128757 t=19856
bu cun zai 	不存在	c=3 d=1.83662e-05 t=19856
bu da 	不大	c=5 d=3.72214e-05 t=19856
bu da biao 	不達標	c=1 d=2.10788e-08 t=19856
bu da ying 	不答應	c=2 d=8.05656e-08 t=19856
bu dan wu 	不耽誤	c=1 d=0.0898153 t=19856
bu di yu 	不低於	c=1 d=0.00346515 t=19856
bu dong 	不懂	c=3 d=0.000275087 t=19856
bu dong le 	不動了	c=1 d=3.26768e-10 t=19856
bu dong shu ju 	不懂數據	c=1 d=1.9321e-13 t=19856
bu duan 	不斷	c=2 d=1.18285e-05 t=19856
bu dui 	不對	c=1 d=1.37166e-12 t=19856
bu duo 	不多	c=2 d=0.449329 t=19856
bu fa 	不乏	c=0 d=3.06163e-18 t=19856
bu fa bu 	不發佈	c=1 d=0.0776922 t=19856
bu fang bian 	不方便	c=0 d=0.0839457 t=19856
bu fang bian dong 	不方便動	c=1 d=0.843665 t=19856
bu fang kai 	不放開	c=3 d=3.31659e-18 t=19856
bu fen 	部分	c=37 d=0.403431 t=19856
bu fen ne 	部分呢	c=1 d=0.00798652 t=19856
bu fu 	不符	c=1 d=1.47062e-08 t=19856
bu fu he 	不符合	c=1 d=3.78362e-08 t=19856
bu gai 	不改	c=1 d=3.00672e-10 t=19856
bu gai 	不該	c=5 d=4.69037e-06 t=19856
bu gai bei zi 	不該被子	c=1 d=1.47874e-14 t=19856
bu gan 	不敢	c=2 d=2.61935e-05 t=19856
bu gao 	不高	c=4 d=0.00360678 t=19856
bu gao yu 	不高於	c=2 d=0.00078095 t=19856
bu gei 	不給	c=1 d=4.18154e-08 t=19856
bu gou 	不夠	c=4 d=0.220087 t=19856
bu guan 	不管	c=2 d=0.0249982 t=19856
bu gui 	不貴	c=1 d=1.35381e-05 t=19856
bu gui zi ji 	不龜茲伎	c=1 d=8.46137e-06 t=19856
bu guo 	不過	c=18 d=0.810649 t=19856
bu hao 	不好	c=3 d=5.73874e-08 t=19856
bu hao ding 	不好定	c=1 d=0.822835 t=19856
bu hao yi si 	不好意思	c=1 d=5.6493e-18 t=19856
bu he shi 	不合適	c=1 d=3.26502e-09 t=19856
bu hui 	不會	c=17 d=0.05015 t=19856
bu huo 	不活	c=1 d=2.2049e-08 t=19856
bu ji 	不及	c=1 d=4.73831e-08 t=19856
bu jia 	不佳	c=1 d=6.66501e-22 t=19856
bu jian yi 	不建議	c=3 d=2.22244e-13 t=19856
bu jiao 	不叫	c=1 d=0.00489275 t=19856
bu jie shou 	不接受	c=1 d=0.0639279 t=19856
bu ju bei 	不具備	c=1 d=1.50784e-08 t=19856
bu kao lv 	不考慮	c=2 d=4.4855e-10 t=19856
bu ke 	不可	c=1 d=4.49482e-05 t=19856
bu ke kong 	不可控	c=1 d=0.028297 t=19856
bu ke neng 	不可能	c=3 d=0.491644 t=19856
bu le 	不了	c=1 d=0.00283702 t=19856
bu li 	不利	c=1 d=4.27924e-15 t=19856
bu mang 	不忙	c=1 d=5.63376e-15 t=19856
bu men 	部門	c=2 d=3.40271e-13 t=19856
bu ming xian 	不明顯	c=1 d=0.000194515 t=19856
bu na me 	不那麼	c=1 d=5.01219e-22 t=19856
bu neng 	不能	c=14 d=0.010358 t=19856
bu neng ne ge 	不能呢個	c=1 d=6.19626e-17 t=19856
bu neng yong 	不能用	c=1 d=0.0139818 t=19856
bu nu yong 	不怒用	c=1 d=4.64607e-12 t=19856
bu pao 	不跑	c=2 d=1.98125e-13 t=19856
bu pao chao 	不跑超	c=2 d=0.000593188 t=19856
bu qi lai 	不起來	c=1 d=1.17128e-07 t=19856
bu qu na ge jia 	不去那個家	c=1 d=4.89359e-05 t=19856
bu quan 	不全	c=7 d=0.00183636 t=19856
bu quan de 	不全的	c=1 d=4.34466e-17 t=19856
bu que 	不缺	c=1 d=0.037068 t=19856
bu que ding 	不確定	c=3 d=0.00166989 t=19856
bu ran 	不染	c=1 d=0.000170803 t=19856
bu ran 	不然	c=5 d=0.57695 t=19856
bu ran na 	不然那	c=3 d=2.86657e-05 t=19856
bu ran na jiu ji ben 	不然那就基本	c=1 d=4.96923e-09 t=19856
bu ren 	不忍	c=1 d=0.367879 t=19856
bu shang xian 	不上先	c=1 d=1.91287e-13 t=19856
bu shao 	不少	c=2 d=0.00695994 t=19856
bu shao le 	不少了	c=1 d=0.0699482 t=19856
bu shao ren 	不少人	c=1 d=0.00458484 t=19856
bu shi 	不是	c=26 d=0.23154 t=19856
bu shou 	不受	c=1 d=1.78847e-16 t=19856
bu shu 	部署	c=9 d=1.06261e-05 t=19856
bu suan 	不算	c=1 d=0.132655 t=19856
bu tai 	不太	c=3 d=0.0856699 t=19856
bu tai da 	不太大	c=1 d=0.158817 t=19856
bu tai dui 	不太對	c=1 d=1.62219e-15 t=19856
bu tai xiang 	不太想	c=1 d=2.0615e-11 t=19856
bu tiao 	不調	c=1 d=1.99094e-13 t=19856
bu tong 	不同	c=8 d=0.0223708 t=19856
bu tong bu de 	不同步的	c=1 d=7.52526e-09 t=19856
bu tong le 	不同了	c=1 d=0.000125903 t=19856
bu tong tian shu 	不同天數	c=1 d=5.48141e-16 t=19856
bu tong yi 	不同意	c=2 d=0.000658037 t=19856
bu wei 	部位	c=0 d=4.48321e-05 t=19856
bu wei zai 	部位在	c=1 d=0.000450569 t=19856
bu xi 	不惜	c=0 d=7.62057e-11 t=19856
bu xi huan 	不喜歡	c=1 d=4.75219e-13 t=19856
bu xi na ge 	不惜那個	c=1 d=7.65877e-10 t=19856
bu xia qu 	不下去	c=1 d=1.13176e-15 t=19856
bu xiao xin 	不小心	c=1 d=2.97114e-17 t=19856
bu xie ru 	不寫入	c=1 d=1.16603e-13 t=19856
bu xing 	不行	c=4 d=0.00486835 t=19856
bu xing le 	不行了	c=1 d=4.44541e-22 t=19856
bu xu 	不許	c=5 d=0.00860854 t=19856
bu xu 	不需	c=1 d=0.00968293 t=19856
bu xu yao 	不需要	c=7 d=0.00117675 t=19856
bu xu zhi xing 	不需執行	c=1 d=0.00904991 t=19856
bu yao 	不要	c=8 d=0.0569831 t=19856
bu yao qiu 	不要求	c=3 d=6.79156e-08 t=19856
bu yi ci ya 	不一次呀	c=1 d=4.08316e-22 t=19856
bu yi ding 	不一定	c=1 d=0.532592 t=19856
bu yi yang 	不一樣	c=3 d=0.00663763 t=19856
bu yi yang le 	不一樣了	c=1 d=0.0151463 t=19856
bu yi zhi 	不一致	c=4 d=0.000426457 t=19856
bu ying gai 	不應該	c=2 d=4.3522e-08 t=19856
bu ying xiang 	不影響	c=1 d=3.06059e-13 t=19856
bu yong 	不用	c=8 d=0.399204 t=19856
bu yong guan 	不用管	c=4 d=1.25853 t=19856
bu yong guan le 	不用管了	c=1 d=2.11441e-15 t=19856
bu yong le 	不用了	c=2 d=6.03402e-09 t=19856
bu yuan yi 	不願意	c=1 d=5.51938e-09 t=19856
bu yun xu 	不允許	c=1 d=0.000117391 t=19856
bu zai 	不再	c=4 d=0.000625966 t=19856
bu zai 	不在	c=14 d=0.000546837 t=19856
bu zan shi 	不暫時	c=1 d=0.00423234 t=19856
bu zhi 	不知	c=6 d=0.0476502 t=19856
bu zhi dao 	不知道	c=2 d=0.00302755 t=19856
bu zhi jie 	不直接	c=2 d=5.74268e-05 t=19856
bu zhi shi 	不只是	c=1 d=0.000590229 t=19856
bu zhi yu 	不至於	c=6 d=7.67467e-05 t=19856
bu zhou 	步驟	c=2 d=6.68931e-06 t=19856
bu zhun que 	不準確	c=1 d=0.00108086 t=19856
bu zu 	不足	c=25 d=0.138891 t=19856
bu zu bao di 	不足保底	c=1 d=7.49411e-19 t=19856
bu zuo 	不做	c=4 d=0.162094 t=19856
bu zuo chu lai le 	不做出來了	c=1 d=0.000689186 t=19856
bu zuo wei 	不作爲	c=1 d=6.55797e-08 t=19856
ca le 	擦了	c=2 d=1.18305e-07 t=19856
ca yi xia 	擦一下	c=1 d=0.00360656 t=19856
cai 	才	c=7 d=0.0385808 t=19856
cai che 	裁撤	c=1 d=2.23358e-13 t=19856
cai gou 	採購	c=1 d=1.44921e-12 t=19856
cai hui 	纔會	c=2 d=0.000633025 t=19856
cai jian 	裁剪	c=1 d=2.3469e-07 t=19856
cai li 	彩禮	c=0 d=0.000143012 t=19856
cai li qian 	彩禮錢	c=1 d=0.00143728 t=19856
cai liao 	材料	c=2 d=0.319819 t=19856
cai neng gou 	纔能夠	c=0 d=9.10147e-12 t=19856
cai neng gou ding 	纔能夠定	c=1 d=9.14709e-11 t=19856
cai nian 	財年	c=1 d=0.600496 t=19856
cai xuan 	採選	c=1 d=3.02807e-05 t=19856
cai yang dian 	採樣點	c=1 d=4.7375e-06 t=19856
cai yong 	採用	c=1 d=9.75642e-05 t=19856
cai zhi dao 	纔知道	c=1 d=1.33044e-06 t=19856
can 	慘	c=1 d=1.21279e-05 t=19856
can guan 	殘冠	c=1 d=0.423162 t=19856
can jia 	參加	c=4 d=0.0301297 t=19856
can kao 	參考	c=13 d=0.0103626 t=19856
can shu 	參數	c=10 d=0.000222751 t=19856
can xun 	參訓	c=1 d=0.000218221 t=19856
can yu 	參與	c=5 d=0.000682328 t=19856
can yu gui hua 	參與規劃	c=1 d=8.93978e-06 t=19856
can yu ji suan 	參與計算	c=1 d=1.29424e-05 t=19856
cao kan 	曹侃	c=1 d=6.94906e-13 t=19856
cao zuo 	操作	c=16 d=0.107719 t=19856
ce 	側	c=18 d=2.59118e-10 t=19856
ce 	測	c=3 d=4.76535e-16 t=19856
ce ding 	測定	c=0 d=2.681e-15 t=19856
ce jin zhan hua 	側金盞花	c=2 d=0.995012 t=19856
ce lv 	策慮	c=1 d=3.08924e-05 t=19856
ce lve 	策略	c=30 d=0.205579 t=19856
ce lve pian cha 	策略偏差	c=1 d=2.13015e-14 t=19856
ce lve zu 	策略組	c=1 d=4.50876e-12 t=19856
ce shi 	測試	c=19 d=2.86398 t=19856
ce shi zhong wen 	測試中文	c=1 d=0.0175097 t=19856
cei fen 	𤭢分	c=1 d=0.117655 t=19856
cha 	差	c=2 d=1.74862e-12 t=19856
cha 	查	c=16 d=0.00444947 t=19856
cha bu dao 	查不到	c=1 d=3.84468e-08 t=19856
cha bu dao le 	查不到了	c=1 d=1.87404e-07 t=19856
cha bu dao ta 	查不到他	c=1 d=1.98992e-07 t=19856
cha bu duo 	差不多	c=6 d=0.286895 t=19856
cha cha 	查查	c=2 d=0.0446014 t=19856
cha dao 	查到	c=5 d=0.00131779 t=19856
cha dian 	差點	c=1 d=6.72513e-10 t=19856
cha ju 	差距	c=10 d=0.00715764 t=19856
cha kan 	查看	c=28 d=0.0658748 t=19856
cha kan wen jian 	查看文件	c=1 d=4.2141e-11 t=19856
cha ri zi 	差日子	c=1 d=1.7567e-11 t=19856
cha xia 	插下	c=1 d=7.09185e-17 t=19856
cha xia 	查下	c=2 d=0.0381969 t=19856
cha xun 	查詢	c=4 d=0.00394621 t=19856
cha yi 	差異	c=24 d=0.0237786 t=19856
cha yi bu da 	差異不大	c=1 d=7.36473e-20 t=19856
cha yo 	查喲	c=1 d=4.58001e-20 t=19856
cha zhi 	差值	c=3 d=0.46115 t=19856
cha zhu yao 	查主要	c=1 d=0.00143728 t=19856
chai fen 	拆分	c=3 d=0.118492 t=19856
chan chu bi 	產出比	c=1 d=0.000135032 t=19856
chan shi 	闡釋	c=1 d=0.000457378 t=19856
chang 	廠	c=1 d=2.11369e-11 t=19856
chang 	長	c=3 d=0.308819 t=19856
chang e 	嫦娥	c=1 d=4.23306e-05 t=19856
chang jing 	場景	c=2 d=5.77441e-11 t=19856
chang liang 	常量	c=2 d=0.903973 t=19856
chang qi 	長期	c=4 d=0.690734 t=19856
chang shang 	廠商	c=1 d=1.69628e-11 t=19856
chang shi 	嘗試	c=3 d=0.0286397 t=19856
chang shi jian 	長時間	c=2 d=0.00386807 t=19856
chang yi xie 	長一些	c=1 d=1.98067e-11 t=19856
chang yong 	常用	c=1 d=0.0776922 t=19856
chao 	超	c=37 d=2.24307 t=19856
chao da 	超大	c=2 d=7.95897e-15 t=19856
chao guo 	超過	c=7 d=5.21026e-16 t=19856
chao shi 	超市	c=2 d=0.000476044 t=19856
chao yang qu 	朝陽區	c=1 d=0.000258659 t=19856
chao yue 	超越	c=1 d=2.51271e-16 t=19856
che 	車	c=1 d=0.00771183 t=19856
che ci 	車次	c=1 d=0.00775048 t=19856
che di 	徹底	c=1 d=2.70795e-14 t=19856
che xiao 	撤銷	c=1 d=1.44847e-06 t=19856
chen ben 	塵坌	c=3 d=9.00938e-09 t=19856
chen ge 	晨歌	c=0 d=1.00672e-21 t=19856
chen ge ba 	晨歌吧	c=1 d=0.00464212 t=19856
